id	text	label	dimension
0_1	You must've had your hands full.	 statement-opinion	dialogue act
0_3	So let's talk a little bit about your duties.	 statement-non-opinion	dialogue act
0_4	My duties?  All right.	 agreement	dialogue act
0_5	Now you'll be heading a whole division, so you'll have a lot of duties.	 statement-non-opinion	dialogue act
0_6	I see.	 agreement	dialogue act
0_7	But there'll be perhaps 30 people under you so you can dump a certain amount on them.	 statement-opinion	dialogue act
0_8	Good to know.	 statement-non-opinion	dialogue act
0_10	No don't I beg of you!	 disagreement	dialogue act
0_12	Really?!	 question	dialogue act
1_0	But then who? The waitress I went out with last month?	 question	dialogue act
1_3	No, I-I-I-I don't, I actually don't know	 answer	dialogue act
1_4	Ok!	 backchannel	dialogue act
1_5	All right, well...	 others	dialogue act
1_8	Yeah, sure!	 backchannel	dialogue act
2_0	Hey, Mon.	 greeting	dialogue act
2_1	Hey-hey-hey. You wanna hear something that sucks.	 question	dialogue act
2_5	Yeah, apparently they're turning it into some kinda coffee place.	 statement-non-opinion	dialogue act
2_7	Got me.	 others	dialogue act
2_8	Can I get a beer.	 question	dialogue act
2_11	Is it the Italian guy?	 question	dialogue act
3_1	What, what, what?!	 question	dialogue act
3_2	What?!	 question	dialogue act
3_4	Look,  'My vessel so empty with nothing inside.	 statement-non-opinion	dialogue act
3_5	Now that I've touched you, you seem emptier still.'	 statement-non-opinion	dialogue act
3_8	Oh, totally. Oh, God, oh, she seemed so happy too.	 statement-opinion	dialogue act
4_1	Hi!	 greeting	dialogue act
4_2	What are you doing here?	 question	dialogue act
4_3	Ah y'know, this building is on my paper route so I...	 statement-non-opinion	dialogue act
4_5	Hi.	 greeting	dialogue act
4_8	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.	 statement-non-opinion	dialogue act
4_10	Me too!	 agreement	dialogue act
4_12	I know.	 agreement	dialogue act
5_0	Ameri-can.	 others	dialogue act
5_1	Ameri-ccan.	 others	dialogue act
5_3	Everybody!!	 others	dialogue act
6_0	Good job Joe! Well done! Top notch!	 apology	dialogue act
6_4	The whole thing! Can we go?	 answer	dialogue act
6_5	Oh no-no-no, give me some specifics.	 command	dialogue act
