season,episode,clip,text,label,video_description
S05,E16,329,"apparently, teens are drinking the slushie stuff inside of these for the alcohol.",Inform,"A woman in a blue blazer stands before a group of store employees, holding up a small object. She speaks with a serious expression, gesturing with her free hand. The employees, in matching blue vests, listen attentively, their expressions ranging from neutral to slightly concerned."
S06,E06,589,we are the manager.,Introduce,"A woman in a blue suit stands with a man in a light blue shirt. She speaks with a confident, slightly challenging expression. The man beside her looks at her with a subtle, knowing smile, suggesting a supportive and collaborative dynamic between them."
S06,E02,25,"that is not true, marcus.",Oppose,"The man in the blue vest, Jonah, is the main speaker. He begins by gesturing with his left hand while speaking. He then picks up a bottle of juice with his right hand and takes a sip, maintaining a calm and conversational expression."
S05,E16,219,"eh, if i did, i'd have to change it on my debit card too.",Leave,"A woman in a blue blazer, holding a clipboard, speaks to a man in a vest. She smiles and gestures with her free hand, her expression shifting from thoughtful to amused as she talks. The man listens, holding a phone."
S05,E19,506,"yeah, he has, like, no respect for the permit.",Complain,"A woman in a denim jacket speaks with a frustrated expression, her brow furrowed and mouth set. She stands among a group of protesters holding signs. The man beside her listens intently, his expression serious and focused on her words."
S05,E10,325,how are things going over there?,Care,"A woman in a red sweater is on a phone call, her expression tense and concerned. She gestures with her free hand, her brow furrowed and mouth slightly open, indicating she is in the middle of a serious conversation."
S05,E08,428,what is this you're sprinkling?,Care,"A man in a striped sweater bends over, placing a blue object into a red donation bucket. He then stands and turns to face another man in a vest, who is smiling and looking at him. The interaction appears friendly and positive."
S05,E12,358,it's the business that we were gonna start.,Introduce,"A man in a light blue lab coat, with a logo for ""BBR Eyecare,"" is speaking. He has dark hair, wears glasses, and is smiling while looking at a woman. His hands are clasped together on a counter in front of him. The woman, seen from the back, has her hair in a braid and is wearing a blue vest with a white cloud design."
S06,E07,601,you were a great roommate.,Praise,"The man in the olive jacket, holding a travel mug, speaks earnestly to the man in the blue hoodie. He gestures with his free hand, his expression shifting from pleading to slightly exasperated as he makes his point."
S04,E17,434,i actually just bought some stock in a drone company.,Inform,"A man in a suit and a woman in a sequined dress stand together at a party. The man, holding a glass, speaks with a serious expression. The woman listens intently, holding her own glass, her expression shifting from attentive to slightly surprised as he talks."
S05,E11,27,"heather, you're in housewares.",Arrange,"The woman in the black blazer is the main speaker, holding a clipboard and gesturing with her right hand as she talks. She appears to be explaining something. The woman in the blue polo shirt stands with her hands behind her back, listening with a neutral expression."
S05,E14,54,"oh, okay. no worries.",Comfort,"A woman in a colorful dress speaks with a man in a suit. She smiles and gestures with her hands, appearing to explain something. The man listens attentively, nodding slightly. Their interaction is calm and conversational, with the woman's expressive gestures suggesting she is actively engaged in the discussion."
S05,E06,206,hey!,Greet,"A woman in a judge's robe smiles warmly at a young girl in a pink cowboy hat. The girl, facing away, gestures with open hands towards the woman. A man in a cowboy hat stands behind the girl, observing the interaction with a neutral expression."
S04,E10,375,"there's, like, eight of us, that's more of a walk.",Complain,"The two men in blue vests are the main speakers. The man on the right, wearing glasses, is actively talking and gesturing with his right hand. The man on the left listens intently, leaning forward slightly. Their interaction appears engaged and conversational."
S04,E08,105,"hey, denise, these are friends of mine",Introduce,"A man in a grey suit approaches a registration desk, gesturing with his right hand as he speaks to the woman behind the counter. He appears to be explaining something. The woman listens attentively, holding a pen and a notepad."
S05,E08,418,"yes, of course!",Agree,"A woman in a blue blazer speaks emphatically, her expression serious and her hand gesturing. A man in a blue vest listens intently, his expression neutral. The woman's tone is firm and direct, suggesting a serious conversation."
S05,E08,149,"hi, i'm amy sosa, store manager.",Introduce,"A woman in a blue blazer, identified as the store manager, walks towards a man holding a red pole. She smiles and gestures with her hands as she speaks, appearing friendly and welcoming. The man listens attentively, holding a small bell."
S04,E03,388,how am i supposed to work checkout?,Complain,"A woman in a blue vest, identified as Cheyenne, speaks with a distressed and exasperated expression. She gestures with her hands, palms up, as if questioning a situation. A man in a light blue shirt, identified as Glenn, stands beside her, holding a clipboard and listening with a neutral, attentive expression."
S06,E04,542,"okay, all right, new rule: no one can be mad about whatever was said in this room, okay?",Inform,"The main speaker, a woman in a blue blazer, stands with her arms outstretched and palms up, making a declarative statement. Her facial expression is serious and authoritative as she addresses an unseen audience."
S05,E12,32,"hey, guys, myrtle's nephew just came in",Inform,"A man in a wheelchair, wearing a blue vest, speaks to a woman in a blue blazer. He is expressive, using his hands to gesture as he talks. The woman listens attentively, her back to the camera."
S04,E09,486,"again, i'm sorry about the typo.",Apologise,"A woman in a red jacket stands beside a man in a blue jacket. She looks up at him with a concerned expression, her hands clasped. The man holds a yellow notebook, looking forward with a serious, focused expression."
S05,E08,537,yeah.,Agree,"A woman in a blue shirt stands at a counter, holding a phone and speaking to a seated man in a blue vest. She gestures with her free hand while he listens attentively, looking up at her. Their interaction appears to be a standard customer-service exchange."
S05,E21,201,"oh, we could get, like, a red bull fountain.",Advise,"A woman with her hair in a bun, wearing a blue vest, stands behind a store counter. She smiles and gestures with her right hand towards a male coworker as she speaks. The man, also in a vest, stands beside her, looking at her and listening."
S04,E16,494,"sandra, code cottontail.",Inform,"A woman in a blue polo shirt is startled, her eyes widening and mouth opening in surprise. She brings her hands up to her mouth in a gesture of shock or disbelief."
S04,E13,472,you were the one who said he should be telling her.,Criticize,"A man in a blue vest, identified by his name tag as ""JONAH,"" is the main speaker. He is animatedly talking, gesturing with his right hand, and has a slightly open mouth. He is seated at a table with a woman and another man, both wearing similar vests."
S05,E08,337,"mateo, give him the gift card.",Arrange,"A woman in a blue blazer speaks to a man in a beige vest. She stands with her hands on her hips, her expression serious and commanding. The man listens, holding a small plant. The other two people in the group stand behind them, observing the interaction."
S04,E03,84,this one smells like peanut butter.,Introduce,"A man in a brown jacket holds a glass of iced coffee and a pastry, speaking to a woman in a blue ""Clouds"" uniform. He gestures with the food as he talks. The woman smiles and listens attentively, nodding slightly. Their interaction is friendly and casual."
S05,E16,27,"also there's a product locator, an inventory map",Inform,"The woman in the blue blazer is the main speaker, holding a clipboard and reading from it. Her expression is serious and focused. The woman in the blue polo shirt stands beside her, listening intently with a neutral expression, holding a phone."
S05,E15,258,kira moon from zephra will be  surprising  us,Inform,"A woman in a black blazer stands and speaks, gesturing with her right hand. She has a friendly, engaging expression. A man in a blue vest stands beside her, listening with his hands clasped in front of him."
S06,E05,74,"yeah, you know, this is actually exactly",Agree,"A man in a blue vest, identified as 'JONAH', stands behind a counter, looking up and speaking with a smile. He holds a pen and a clipboard, gesturing with his right hand. In the foreground, a bald man in a similar vest is out of focus, listening with his eyes closed."
