id	text	label	dimension
0_0	so without further ado, to welcome our newest part-time employee, emma dubanowski.	 introduce	intent
0_3	oh, i keep a copy of all the photos employees get developed here.	 inform	intent
0_4	you don't have any of my photos, because i don't pose for them.	 explain	intent
0_5	anyway, over the years, we've watched amy's daughter emma grow.	 inform	intent
0_7	oh, also, starting today is kelly watson.	 inform	intent
0_8	hi, everyone.	 greet	intent
1_0	oh, excuse me.	 greet	intent
1_1	um, i don't know his name, and an amazing butt?	 ask for help	intent
1_2	okay. well, thank you.	 thank	intent
1_4	oh, i just like flirting with him.	 explain	intent
1_5	i mean, just because you're not gonna buy doesn't mean you can't check out the merchandise, right?	 confirm	intent
1_6	ew. so are you just gonna stand there till he comes out?	 confirm	intent
1_7	this whole job is standing places.	 introduce	intent
1_8	okay.	 agree	intent
3_0	dina, i'm with a customer right now.	 inform	intent
3_1	oh. i'm sorry.	 apologise	intent
3_2	step back, please. can i just put this-step back.	 arrange	intent
3_3	i have been experiencing some anxiety recently, and...	 complain	intent
3_5	okay. well, um, maybe we just take a little break.	 advise	intent
3_6	oh.	 acknowledge	intent
3_7	yeah, that would probably be good.	 agree	intent
3_9	we can't take that back if it's broken.	 warn	intent
5_0	okay. so flip, flip, voilà. got it?	 confirm	intent
5_1	relax. it's just dad.	 explain	intent
5_3	uh, inside joke. you wouldn't get it.	 taunt	intent
5_4	it was just something that happened at six flags.	 explain	intent
5_8	um, is--is this right?	 confirm	intent
5_10	oh.	 acknowledge	intent
6_0	no, i mean, obviously, i want her to love her dad, and all of a sudden, they're like besties.	 explain	intent
6_1	i thought latinos don't care if their kids like them.	 taunt	intent
6_2	i really think you're painting with too broad a cultural brush here.	 taunt	intent
6_4	you're an intense mom.	 taunt	intent
6_5	i do not want to be around when emma starts dating.	 taunt	intent
6_6	why would you even mention that?	 criticize	intent
7_0	hey.	 greet	intent
7_1	hey...garrett.	 greet	intent
7_2	how's it going, big guy?	 care	intent
7_4	you could join us if you want.	 invite	intent
7_5	well, you know, 'cause of what happened.	 explain	intent
7_7	you are going to find someone so great.	 comfort	intent
8_1	i like the enthusiasm!	 praise	intent
8_2	so how's school? what's going on?	 care	intent
8_3	hot goss?	 confirm	intent
8_4	you know what i mean. come on, spill it, girl.	 advise	intent
8_5	excuse me. you were gonna check to see if you had any floor cleaner in the back?	 confirm	intent
8_6	listen, if you don't feel like doing something, don't waste my time.	 warn	intent
8_7	excuse me, sir.	 criticize	intent
8_9	who even uses floor cleaner anymore?	 taunt	intent
8_10	what are you, an orderly from the '50s?	 taunt	intent
8_12	wow.	 praise	intent
8_13	that was awesome.	 praise	intent
8_14	i can be awesome.	 flaunt	intent
10_1	no wonder this country's a garbage fire.	 complain	intent
10_2	because she asked me,  what's new with you,  and so i told her.	 explain	intent
10_4	okay, but you didn't break up with me.	 emphasize	intent
10_7	well, there you go, champ.	 taunt	intent
10_8	i'm sorry. do you know what a softline is?	 ask for help	intent
10_9	i don't have time for this.	 leave	intent
10_10	excuse me.	 greet	intent
10_11	do you know what a softline is?	 ask for help	intent
10_12	i don't live here. i'm from tampa.	 leave	intent
11_4	oh, uh, no, you're not done.	 inform	intent
11_5	well, because the floor is still slippery.	 explain	intent
11_6	okay. fine.	 agree	intent
11_7	how about you and i go get a soda?	 invite	intent
12_2	and then she's not doing her homework.	 criticize	intent
12_3	and then she's hanging out with the bad kids.	 criticize	intent
12_4	yes. actually, yeah. that would be great.	 agree	intent
12_5	oh, no, no, no, no. i was just kidding.	 explain	intent
13_2	oh.   hey, um, you think i could get that badge for the bathroom again?	 ask for help	intent
13_4	i would love to, um, but i could actually get into trouble with my boss.	 explain	intent
13_5	oh.	 acknowledge	intent
13_6	yeah, i mean, i am a bad boy, but not that way.	 explain	intent
14_0	i'm sorry about before.	 apologise	intent
14_1	i hadn't eaten anything, and, uh, i got a weird call from my wife.	 explain	intent
14_2	okay, let me stop you right there.	 prevent	intent
14_3	i was wrong for yelling at you earlier.	 apologise	intent
14_4	okay.	 acknowledge	intent
14_5	so if you wanted to, like, go over there and really give it to her, that would be fine.	 advise	intent
14_6	obviously, don't hit her, but if you wanted to shake her a little, that would be cool.	 advise	intent
14_7	i'm not gonna shake a little girl.	 oppose	intent
14_8	no, no, i'm her mom. i'm not gonna report it.	 explain	intent
16_0	it's a can.	 introduce	intent
